cells,taxagroup,T2Mexp
12503,mammals,0
12504,mammals,0
12505,mammals,0
12506,mammals,0
12507,mammals,0
12508,mammals,0
12509,mammals,0
12510,mammals,0
12511,mammals,0
12512,mammals,0
12513,mammals,0
12514,mammals,0
12515,mammals,0
12516,mammals,0
12517,mammals,0
12518,mammals,0
12519,mammals,0
12520,mammals,0
12521,mammals,0
12522,mammals,0
12523,mammals,0
12524,mammals,0
12525,mammals,0
12526,mammals,0
12527,mammals,0
12528,mammals,0
12529,mammals,0
12530,mammals,0
12531,mammals,0
12532,mammals,0
12533,mammals,0
12534,mammals,0
12535,mammals,0
12536,mammals,0
12537,mammals,0
12538,mammals,0
12539,mammals,0
12540,mammals,0
12541,mammals,0
12542,mammals,0
12543,mammals,0
12544,mammals,0
12545,mammals,0
12546,mammals,0
12547,mammals,0
12548,mammals,0
12549,mammals,0
12550,mammals,0
12551,mammals,0
12552,birds,0
12552,mammals,0
12553,birds,0
12553,mammals,0
12554,birds,0
12554,mammals,0
12556,birds,0
12556,mammals,0
12557,birds,0
12557,mammals,0
12558,birds,0
12558,mammals,0
12559,birds,0
12559,mammals,0
12560,birds,0
12560,mammals,0
12561,birds,0
12561,mammals,0
12562,birds,0
12562,mammals,0
12563,birds,0
12563,mammals,0
12564,birds,0
12564,mammals,0
12565,birds,0
12565,mammals,0
12566,birds,0
12566,mammals,0
12567,birds,0
12567,mammals,0
12568,birds,0
12568,mammals,0
12569,birds,0
12569,mammals,0
12570,birds,0
12570,mammals,0
12571,birds,0
12571,mammals,0
12572,birds,0
12572,mammals,0
12573,birds,0
12573,mammals,0
12574,birds,0
12574,mammals,0
12575,birds,0
12575,mammals,0
13130,birds,0
13130,mammals,0
13131,birds,0
13131,mammals,0
13132,birds,0
13132,mammals,0
13133,birds,0
13133,mammals,0
13134,birds,0
13134,mammals,0
13135,birds,0
13135,mammals,0
13136,birds,0
13136,mammals,0
13137,birds,0
13137,mammals,0
13138,birds,0
13138,mammals,0
13143,birds,0
13143,mammals,0
13144,birds,0
13144,mammals,0
13145,birds,0
13145,mammals,0
13146,birds,0
13146,mammals,0
13147,birds,0
13147,mammals,0
13148,birds,0
13148,mammals,0
13149,birds,0
13149,mammals,0
13150,birds,0
13150,mammals,0
13151,birds,0
13151,mammals,0
13152,birds,0
13152,mammals,0
13153,birds,0
13153,mammals,0
13154,birds,0
13154,mammals,0
13155,birds,0
13155,mammals,0
13156,birds,0
13156,mammals,0
13157,birds,0
13157,mammals,0
13158,birds,0
13158,mammals,0
13159,birds,0
13159,mammals,0
13160,birds,0
13160,mammals,0
13161,birds,0
13161,mammals,0
13162,birds,0
13162,mammals,0
13163,birds,0
13163,mammals,0
13164,birds,0
13164,mammals,0
13165,birds,0
13165,mammals,0
13166,birds,0
13166,mammals,0
13167,birds,0
13167,mammals,0
13168,birds,0
13168,mammals,0
13169,birds,0
13169,mammals,0
13170,birds,0
13170,mammals,0
13171,birds,0
13171,mammals,0
13172,birds,0
13172,mammals,0
13173,birds,0
13173,mammals,0
13174,birds,0
13174,mammals,0
13175,birds,0
13175,mammals,0
13176,birds,0
13176,mammals,0
13177,birds,0
13177,mammals,0
13178,birds,0
13178,mammals,0
13179,birds,0
13179,mammals,0
13180,birds,0
13180,mammals,0
13181,birds,0
13181,mammals,0
13182,birds,0
13182,mammals,0
13183,birds,0
13183,mammals,0
13189,birds,0
13189,mammals,0
13190,birds,0
13190,mammals,0
13191,birds,0
13191,mammals,0
13192,birds,0
13192,mammals,0
13193,birds,0
13193,mammals,0
13194,birds,0
13194,mammals,0
13195,birds,0
13195,mammals,0
13196,birds,0
13196,mammals,0
13197,birds,0
13197,mammals,0
13198,birds,0
13198,mammals,0
13199,birds,0
13199,mammals,0
13200,birds,0
13200,mammals,0
13201,birds,0
13201,mammals,0
13202,birds,0
13202,mammals,0
13203,birds,0
13203,mammals,0
13204,birds,0
13204,mammals,0
13205,mammals,0
13206,mammals,0
13207,mammals,0
13208,mammals,0
13209,mammals,0
13210,mammals,0
13211,mammals,0
13212,mammals,0
13213,mammals,0
13214,mammals,0
13215,mammals,0
13216,mammals,0
13217,mammals,0
13218,mammals,0
13219,mammals,0
13220,mammals,0
13221,mammals,0
13222,mammals,0
13223,mammals,0
13224,mammals,0
13225,mammals,0
13226,mammals,0
13227,mammals,0
13228,mammals,0
13229,mammals,0
13230,mammals,0
13231,mammals,0
13232,mammals,0
13233,mammals,0
13234,mammals,0
13235,mammals,0
13236,mammals,0
13237,mammals,0
13238,mammals,0
13239,mammals,0
13240,mammals,0
13241,mammals,0
13242,mammals,0
13243,mammals,0
13244,mammals,0
13245,mammals,0
13246,mammals,0
13247,mammals,0
13248,mammals,0
13249,mammals,0
13250,mammals,0
13251,mammals,0
13252,mammals,0
13253,mammals,0
13254,mammals,0
13255,mammals,0
13256,mammals,0
13257,mammals,0
13258,mammals,0
13259,mammals,0
13260,mammals,0
13261,mammals,0
13262,mammals,0
13263,mammals,0
13264,mammals,0
13265,mammals,0
13266,mammals,0
13267,mammals,0
13268,mammals,0
13269,mammals,0
13270,mammals,0
13271,mammals,0
13272,mammals,0
13273,birds,0
13273,mammals,0
13274,birds,0
13274,mammals,0
